id,page,score,smiles,canonical_smiles,smiles_valid,smiles_status,crop_path,source_kind,locator_engine,source_image,warning
antiaromaticity-relief-mediated-intramolecular_p003_img01_c08,3,0.9276,CCOC(=O)CCCCCCCCCC1C(CCCCCCCCCC2C(CCCCCCCCCC3C(CCCCCCCCCC4C(CCCCCCCCCC5C(CCCCCCCCCC6C(CCCCCCCCCC7C(CCCCCCCCCC8C(CCCCCCCCCC9C(CCCCCCCCCCC%10C(CCCCCCCCCC%11C(CCCCCCCCC%12C(CCCCCCCCCC%13C(CCCCCCCCC%14C(CCCCCCCCC%15C(CCCCCCCCCC%16C(CCCCCCCC%17C(CCCCCCC%18C(CCCCCCCC%19C(CCCCCCCC%19(OCCCCCCC%19(OCCCCCCC%17),,False,low_confidence,/Users/ronggang/code/funcode/chemaster/output/chem_pdf/antiaromaticity-relief-mediated-intramolecular/crops/antiaromaticity-relief-mediated-intramolecular_p003_img01_c08.png,embedded,heuristic,/Users/ronggang/code/funcode/chemaster/output/chem_pdf/antiaromaticity-relief-mediated-intramolecular/figures/antiaromaticity-relief-mediated-intramolecular_p003_img01.png,RDKit could not parse predicted SMILES
antiaromaticity-relief-mediated-intramolecular_p004_img01_c01,4,0.8799,[Mo].[Mo].[Mo].[Mo].[Mo].[Mo].[Mo].[Mo].[Mo].[Mo].[Mo].[Mo].[Mo].[Mo].[Mo].[Mo].[Mo].[Mo].[Mo].[Mo].[Mo].[Mo].[Mo].[Mo].[Mo].[Mo].[Mo].[Mo].[Mo].[Mo].[Mo].[Mo].[Mo].[Mo].[Mo].[Mo].[Mo].[Mo].[Mo].[Mo].[Mo].[Mo].[Mo].[Mo].[Mo].[Mo].[Mo].[Mo].[Mo].[Mo].[Mo].[Mo].[Mo].[Mo].[Mo].[Mo].[Mo].[Mo].[Mo].[Mo].[Mo].[Mo].[Mo].[Mo].[Mo].[Mo].[Mo].[Mo].[Mo].[Mo].[Mo].[Mo].[Mo].[Mo].[Mo].[Mo,,False,low_confidence,/Users/ronggang/code/funcode/chemaster/output/chem_pdf/antiaromaticity-relief-mediated-intramolecular/crops/antiaromaticity-relief-mediated-intramolecular_p004_img01_c01.png,embedded,heuristic,/Users/ronggang/code/funcode/chemaster/output/chem_pdf/antiaromaticity-relief-mediated-intramolecular/figures/antiaromaticity-relief-mediated-intramolecular_p004_img01.png,RDKit could not parse predicted SMILES
antiaromaticity-relief-mediated-intramolecular_p004_img01_c02,4,0.9239,CC(C)(C)OC(=O)N1CCCCC1C(=O)OC2=CC=C(C=C2)C(=O)OC3=CC=C(C=C3)C(=O)OC4=CC=C(C=C4)C(=O)OC5=CC=C(C=C5)C(=O)OC6=CC=C(C=C6)C(=O)OC7=CC=C(C=C7)C(=O)OC8=CC=C(C=C8)C(=O)OC9=CC=C(C=C9)C(=O)OC%10=CC=C(C=C%10)C(=O)OC%11=CC=C(C=C%11)C(=O)OC%12=CC=C(C=C%12)C(=O)OC%13=CC=C(C=C%13)C(=O)OC%14=CC=C(C=C%14)C(=O)OC%15=CC,,False,low_confidence,/Users/ronggang/code/funcode/chemaster/output/chem_pdf/antiaromaticity-relief-mediated-intramolecular/crops/antiaromaticity-relief-mediated-intramolecular_p004_img01_c02.png,embedded,heuristic,/Users/ronggang/code/funcode/chemaster/output/chem_pdf/antiaromaticity-relief-mediated-intramolecular/figures/antiaromaticity-relief-mediated-intramolecular_p004_img01.png,RDKit could not parse predicted SMILES
antiaromaticity-relief-mediated-intramolecular_p004_img01_c03,4,0.8981,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,True,too_long,/Users/ronggang/code/funcode/chemaster/output/chem_pdf/antiaromaticity-relief-mediated-intramolecular/crops/antiaromaticity-relief-mediated-intramolecular_p004_img01_c03.png,embedded,heuristic,/Users/ronggang/code/funcode/chemaster/output/chem_pdf/antiaromaticity-relief-mediated-intramolecular/figures/antiaromaticity-relief-mediated-intramolecular_p004_img01.png,
antiaromaticity-relief-mediated-intramolecular_p004_img01_c04,4,0.9248,CC(C)(C)[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,CC(C)(C)[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,True,valid,/Users/ronggang/code/funcode/chemaster/output/chem_pdf/antiaromaticity-relief-mediated-intramolecular/crops/antiaromaticity-relief-mediated-intramolecular_p004_img01_c04.png,embedded,heuristic,/Users/ronggang/code/funcode/chemaster/output/chem_pdf/antiaromaticity-relief-mediated-intramolecular/figures/antiaromaticity-relief-mediated-intramolecular_p004_img01.png,
antiaromaticity-relief-mediated-intramolecular_p006_img01_c01,6,0.8819,[13CH3][13C](=O)[13C](=O)[13C](=O)[13C](=O)[13C](=O)[13C](=O)[13C](=O)[13C](=O)[13C](=O)[13C](=O)[13C](=O)[13C](=O)[13C](=O)[13C](=O)[13C](=O)[13C](=O)[13C](=O)[13C](=O)[13C](=O)[13C](=O)[13C](=O)[13C](=O)[13C](=O)[13C](=O)[13C](=O)[13C](=O)[13C](=O)[13C](=O)[13C](=O)[13C](=O)[13C](=O)[13C](=O)[13C](=,,False,low_confidence,/Users/ronggang/code/funcode/chemaster/output/chem_pdf/antiaromaticity-relief-mediated-intramolecular/crops/antiaromaticity-relief-mediated-intramolecular_p006_img01_c01.png,embedded,heuristic,/Users/ronggang/code/funcode/chemaster/output/chem_pdf/antiaromaticity-relief-mediated-intramolecular/figures/antiaromaticity-relief-mediated-intramolecular_p006_img01.png,RDKit could not parse predicted SMILES
antiaromaticity-relief-mediated-intramolecular_p006_img01_c02,6,0.9543,CC(C)(C)NC(C)(C)C.CC(C)(C)NC(C)(C)C.CC(C)(C)NC(C)(C)C.CC(C)(C)NC(C)(C)C.CC(C)(C)NC(C)(C)C.CC(C)(C)NC(C)(C)C.CC(C)(C)NC(C)(C)C.CC(C)(C)NC(C)(C)C.CC(C)(C)NC(C)(C)C.CC(C)(C)NC(C)(C)C.CC(C)(C)NC(C)(C)C.CC(C)(C)NC(C)(C)C.CC(C)(C)NC(C)(C)C.CC(C)(C)NC(C)(C)C.CC(C)(C)NC(C)(C)C.CC(C)(C)NC(C)(C)C.CC(C)(C)NC(C)(,,False,low_confidence,/Users/ronggang/code/funcode/chemaster/output/chem_pdf/antiaromaticity-relief-mediated-intramolecular/crops/antiaromaticity-relief-mediated-intramolecular_p006_img01_c02.png,embedded,heuristic,/Users/ronggang/code/funcode/chemaster/output/chem_pdf/antiaromaticity-relief-mediated-intramolecular/figures/antiaromaticity-relief-mediated-intramolecular_p006_img01.png,RDKit could not parse predicted SMILES
antiaromaticity-relief-mediated-intramolecular_p006_img02_c01,6,0.9542,C1=CC2=C(C=C1)C3=C(C=CC=C3)N(C4=CC(=C(C(=C4)Cl)C(=O)C5=C(C=C(C=C5Cl)[R19a])Cl)Cl)C6=C(C=CC=C6)C7=C(C=CC=C7)C8=C2C=CC=C8.C1=C(C(=C(C=C1[R19a])Cl)C(=O)C2=C(C=C(C=C2Cl)Cl)Cl)Cl.CC#N.CC#N.CC#N.[B].[B],,False,low_confidence,/Users/ronggang/code/funcode/chemaster/output/chem_pdf/antiaromaticity-relief-mediated-intramolecular/crops/antiaromaticity-relief-mediated-intramolecular_p006_img02_c01.png,embedded,heuristic,/Users/ronggang/code/funcode/chemaster/output/chem_pdf/antiaromaticity-relief-mediated-intramolecular/figures/antiaromaticity-relief-mediated-intramolecular_p006_img02.png,RDKit could not parse predicted SMILES
antiaromaticity-relief-mediated-intramolecular_p006_img02_c02,6,0.9064,C1=CC2=C(C=C1)C3=C(C=CC=C3)S(=O)(=O)C4=CC(=C(C(=C4)Cl)C5(C6=C(C=C(C=C6Cl)[R])Cl)C7=C(C=C(C=C7Cl)[R19a])Cl)C8=C(C=CC=C8)C9=C(C=CC=C9)S(=O)(=O)C%10=C2C=CC=C%10,,False,low_confidence,/Users/ronggang/code/funcode/chemaster/output/chem_pdf/antiaromaticity-relief-mediated-intramolecular/crops/antiaromaticity-relief-mediated-intramolecular_p006_img02_c02.png,embedded,heuristic,/Users/ronggang/code/funcode/chemaster/output/chem_pdf/antiaromaticity-relief-mediated-intramolecular/figures/antiaromaticity-relief-mediated-intramolecular_p006_img02.png,RDKit could not parse predicted SMILES
antiaromaticity-relief-mediated-intramolecular_p006_img02_c03,6,0.8519,CCC1C(C(C(C(C1C(C(C)C)C(C(C)C)C(C(C)C)C(C(C)C)C(C(C)C)C(C(C)C)C(C(C)C)C(C(C)C)C(C(C)C)C(C(C)C)C(C(C)C)C(C(C)C)C(C(C)C)C(C(C)C)C(C(C)C)C(C(C)C)C(C(C)C)C(C(C)C)C(C(C)C)C(C(C)C)C(C(C)C)C(C(C)C)C(C(C)C)C(C(C)C)C(C(C)C)C(C)C)C(C)C)C(C)C)C(C)C)C(C)C,CCC1C(C(C)C)C(C(C)C)C(C(C)C)C(C(C)C)C1C(C(C)C)C(C(C)C)C(C(C)C)C(C(C)C)C(C(C)C)C(C(C)C)C(C(C)C)C(C(C)C)C(C(C)C)C(C(C)C)C(C(C)C)C(C(C)C)C(C(C)C)C(C(C)C)C(C(C)C)C(C(C)C)C(C(C)C)C(C(C)C)C(C(C)C)C(C(C)C)C(C(C)C)C(C(C)C)C(C(C)C)C(C(C)C)C(C(C)C)C(C)C,True,too_long,/Users/ronggang/code/funcode/chemaster/output/chem_pdf/antiaromaticity-relief-mediated-intramolecular/crops/antiaromaticity-relief-mediated-intramolecular_p006_img02_c03.png,embedded,heuristic,/Users/ronggang/code/funcode/chemaster/output/chem_pdf/antiaromaticity-relief-mediated-intramolecular/figures/antiaromaticity-relief-mediated-intramolecular_p006_img02.png,
